cve_id,description,actual_full,actual,predicted,correct,metric
CVE-2024-9549,A vulnerability was found in D-Link DIR-605L 2.13B01 BETA and classified as critical. This issue aff...,NETWORK,N,N,True,AV
CVE-2024-9550,A vulnerability was found in D-Link DIR-605L 2.13B01 BETA. It has been classified as critical. Affec...,NETWORK,N,N,True,AV
CVE-2024-9551,A vulnerability was found in D-Link DIR-605L 2.13B01 BETA. It has been declared as critical. Affecte...,NETWORK,N,N,True,AV
CVE-2024-9552,A vulnerability was found in D-Link DIR-605L 2.13B01 BETA. It has been rated as critical. Affected b...,NETWORK,N,N,True,AV
CVE-2024-9553,A vulnerability classified as critical has been found in D-Link DIR-605L 2.13B01 BETA. This affects ...,NETWORK,N,N,True,AV
CVE-2024-9554,A vulnerability classified as problematic was found in Sovell Smart Canteen System up to 3.0.7303.30...,NETWORK,N,N,True,AV
CVE-2024-9555,"A vulnerability, which was classified as critical, has been found in D-Link DIR-605L 2.13B01 BETA. A...",NETWORK,N,N,True,AV
CVE-2024-9556,"A vulnerability, which was classified as critical, was found in D-Link DIR-605L 2.13B01 BETA. This a...",NETWORK,N,N,True,AV
CVE-2024-9557,A vulnerability has been found in D-Link DIR-605L 2.13B01 BETA and classified as critical. This vuln...,NETWORK,N,N,True,AV
CVE-2024-9558,A vulnerability was found in D-Link DIR-605L 2.13B01 BETA and classified as critical. This issue aff...,NETWORK,N,N,True,AV
CVE-2024-9559,A vulnerability was found in D-Link DIR-605L 2.13B01 BETA. It has been classified as critical. Affec...,NETWORK,N,N,True,AV
CVE-2024-9560,A vulnerability was found in ESAFENET CDG V5. It has been rated as critical. Affected by this issue ...,NETWORK,N,N,True,AV
CVE-2024-9561,A vulnerability classified as critical has been found in D-Link DIR-605L 2.13B01 BETA. This affects ...,NETWORK,N,N,True,AV
CVE-2024-9562,A vulnerability classified as critical was found in D-Link DIR-605L 2.13B01 BETA. This vulnerability...,NETWORK,N,N,True,AV
CVE-2024-9563,"A vulnerability, which was classified as critical, has been found in D-Link DIR-605L 2.13B01 BETA. T...",NETWORK,N,N,True,AV
CVE-2024-9564,"A vulnerability, which was classified as critical, was found in D-Link DIR-605L 2.13B01 BETA. Affect...",NETWORK,N,N,True,AV
CVE-2024-9565,A vulnerability has been found in D-Link DIR-605L 2.13B01 BETA and classified as critical. Affected ...,NETWORK,N,N,True,AV
CVE-2024-9566,A vulnerability classified as critical was found in D-Link DIR-619L B1 2.06. This vulnerability affe...,NETWORK,N,N,True,AV
CVE-2024-9567,"A vulnerability, which was classified as critical, has been found in D-Link DIR-619L B1 2.06. This i...",NETWORK,N,N,True,AV
CVE-2024-9568,"A vulnerability, which was classified as critical, was found in D-Link DIR-619L B1 2.06. Affected is...",NETWORK,N,N,True,AV
CVE-2024-9569,A vulnerability has been found in D-Link DIR-619L B1 2.06 and classified as critical. Affected by th...,NETWORK,N,N,True,AV
CVE-2024-9570,A vulnerability was found in D-Link DIR-619L B1 2.06 and classified as critical. Affected by this is...,NETWORK,N,N,True,AV
CVE-2024-47781,CreateWiki is an extension used at Miraheze for requesting & creating wikis. The name of requested w...,NETWORK,N,N,True,AV
CVE-2024-47817,"Lara-zeus Dynamic Dashboard simple way to manage widgets for your website landing page, and filament...",NETWORK,N,N,True,AV
CVE-2024-7206,SSL Pinning Bypass in eWeLink Some hardware products allows local ATTACKER to Decrypt TLS communicat...,PHYSICAL,P,L,False,AV
CVE-2024-47095,Cross Site Scripting vulnerability in Follet School Solutions Destiny before v22.0.1 AU1 allows a re...,NETWORK,N,N,True,AV
CVE-2023-52952,A vulnerability has been identified in HiMed Cockpit 12 pro (J31032-K2017-H259) (All versions >= V11...,LOCAL,L,L,True,AV
CVE-2024-41798,A vulnerability has been identified in SENTRON 7KM PAC3200 (All versions). Affected devices only pro...,NETWORK,N,N,True,AV
CVE-2024-41902,A vulnerability has been identified in JT2Go (All versions < V2406.0003). The affected application c...,LOCAL,L,N,False,AV
CVE-2024-41981,"A vulnerability has been identified in Simcenter Femap V2306 (All versions), Simcenter Femap V2401 (...",LOCAL,L,L,True,AV
CVE-2024-45463,"A vulnerability has been identified in Teamcenter Visualization V14.2 (All versions < V14.2.0.14), T...",LOCAL,L,L,True,AV
CVE-2024-45464,"A vulnerability has been identified in Teamcenter Visualization V14.2 (All versions < V14.2.0.14), T...",LOCAL,L,L,True,AV
CVE-2024-45465,"A vulnerability has been identified in Teamcenter Visualization V14.2 (All versions < V14.2.0.14), T...",LOCAL,L,L,True,AV
CVE-2024-45466,"A vulnerability has been identified in Teamcenter Visualization V14.2 (All versions < V14.2.0.14), T...",LOCAL,L,L,True,AV
CVE-2024-45467,"A vulnerability has been identified in Teamcenter Visualization V14.2 (All versions < V14.2.0.14), T...",LOCAL,L,L,True,AV
CVE-2024-45468,"A vulnerability has been identified in Teamcenter Visualization V14.2 (All versions < V14.2.0.14), T...",LOCAL,L,L,True,AV
CVE-2024-45469,"A vulnerability has been identified in Teamcenter Visualization V14.2 (All versions < V14.2.0.14), T...",LOCAL,L,L,True,AV
CVE-2024-45470,"A vulnerability has been identified in Teamcenter Visualization V14.2 (All versions < V14.2.0.14), T...",LOCAL,L,L,True,AV
CVE-2024-45471,"A vulnerability has been identified in Teamcenter Visualization V14.2 (All versions < V14.2.0.14), T...",LOCAL,L,L,True,AV
CVE-2024-45472,"A vulnerability has been identified in Teamcenter Visualization V14.2 (All versions < V14.2.0.14), T...",LOCAL,L,L,True,AV
CVE-2024-45473,"A vulnerability has been identified in Teamcenter Visualization V14.2 (All versions < V14.2.0.14), T...",LOCAL,L,L,True,AV
CVE-2024-45474,"A vulnerability has been identified in Teamcenter Visualization V14.2 (All versions < V14.2.0.14), T...",LOCAL,L,L,True,AV
CVE-2024-45475,"A vulnerability has been identified in Teamcenter Visualization V14.2 (All versions < V14.2.0.14), T...",LOCAL,L,L,True,AV
CVE-2024-45476,"A vulnerability has been identified in Teamcenter Visualization V14.2 (All versions < V14.2.0.14), T...",LOCAL,L,L,True,AV
CVE-2024-46886,The web server of affected devices does not properly validate input that is used for a user redirect...,NETWORK,N,N,True,AV
CVE-2024-46887,The web server of affected devices do not properly authenticate user request to the '/ClientArea/Run...,NETWORK,N,N,True,AV
CVE-2024-47046,"A vulnerability has been identified in Simcenter Femap V2306 (All versions), Simcenter Femap V2401 (...",LOCAL,L,L,True,AV
CVE-2024-47194,"A vulnerability has been identified in ModelSim (All versions < V2024.3), Questa (All versions < V20...",LOCAL,L,L,True,AV
CVE-2024-47195,"A vulnerability has been identified in ModelSim (All versions < V2024.3), Questa (All versions < V20...",LOCAL,L,L,True,AV
CVE-2024-47196,"A vulnerability has been identified in ModelSim (All versions < V2024.3), Questa (All versions < V20...",LOCAL,L,N,False,AV
CVE-2024-47553,A vulnerability has been identified in Siemens SINEC Security Monitor (All versions < V4.9.0). The a...,NETWORK,N,N,True,AV
CVE-2024-47562,A vulnerability has been identified in Siemens SINEC Security Monitor (All versions < V4.9.0). The a...,LOCAL,L,N,False,AV
CVE-2024-47563,A vulnerability has been identified in Siemens SINEC Security Monitor (All versions < V4.9.0). The a...,NETWORK,N,N,True,AV
CVE-2024-47565,A vulnerability has been identified in Siemens SINEC Security Monitor (All versions < V4.9.0). The a...,NETWORK,N,N,True,AV
CVE-2024-3506,A possible buffer overflow in selected cameras' drivers from XProtect Device Pack can allow an attac...,ADJACENT,A,L,False,AV
CVE-2024-9005,"CWE-502: Deserialization of Untrusted Data vulnerability exists that could allow code to be
remotely...",NETWORK,N,N,True,AV
CVE-2024-8215,Improper Neutralization of Input During Web Page Generation (XSS or 'Cross-site Scripting') vulnerab...,NETWORK,N,N,True,AV
CVE-2024-8626,"Due to a memory leak, a denial-of-service vulnerability exists in the Rockwell Automation affected p...",NETWORK,N,N,True,AV
CVE-2024-9124,A denial-of-service vulnerability exists in the Rockwell Automation PowerFlex® 600T. If the device i...,NETWORK,N,L,False,AV
CVE-2024-47823,Livewire is a full-stack framework for Laravel that allows for dynamic UI components without leaving...,NETWORK,N,N,True,AV
CVE-2024-27457,Improper check for unusual or exceptional conditions in Intel(R) TDX Module firmware before version ...,LOCAL,L,L,True,AV
CVE-2024-9412,An improper authorization vulnerability exists in the Rockwell Automation affected products that cou...,NETWORK,N,N,True,AV
CVE-2024-9575,Local File Inclusion vulnerability in pretix Widget WordPress plugin pretix-widget on Windows allows...,NETWORK,N,N,True,AV
CVE-2024-9286,"Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'), Improper Input...",NETWORK,N,N,True,AV
CVE-2024-9463,An OS command injection vulnerability in Palo Alto Networks Expedition allows an unauthenticated att...,NETWORK,N,N,True,AV
CVE-2024-9464,An OS command injection vulnerability in Palo Alto Networks Expedition allows an authenticated attac...,NETWORK,N,N,True,AV
CVE-2024-9465,An SQL injection vulnerability in Palo Alto Networks Expedition allows an unauthenticated attacker t...,NETWORK,N,N,True,AV
CVE-2024-9466,A cleartext storage of sensitive information vulnerability in Palo Alto Networks Expedition allows a...,LOCAL,L,N,False,AV
CVE-2024-9467,A reflected XSS vulnerability in Palo Alto Networks Expedition enables execution of malicious JavaSc...,NETWORK,N,N,True,AV
CVE-2024-9468,A memory corruption vulnerability in Palo Alto Networks PAN-OS software allows an unauthenticated at...,NETWORK,N,N,True,AV
CVE-2024-9469,A problem with a detection mechanism in the Palo Alto Networks Cortex XDR agent on Windows devices e...,LOCAL,L,L,True,AV
CVE-2024-9470,A vulnerability in Cortex XSOAR allows the disclosure of incident data to users who do not have the ...,NETWORK,N,N,True,AV
CVE-2024-9471,A privilege escalation (PE) vulnerability in the XML API of Palo Alto Networks PAN-OS software enabl...,NETWORK,N,L,False,AV
CVE-2024-9473,A privilege escalation vulnerability in the Palo Alto Networks GlobalProtect app on Windows allows a...,LOCAL,L,L,True,AV
CVE-2024-47832,ssoready is a single sign on provider implemented via docker. Affected versions are vulnerable to XM...,NETWORK,N,N,True,AV
CVE-2024-47833,"Taipy is an open-source Python library for easy, end-to-end application development for data scienti...",NETWORK,N,N,True,AV
CVE-2024-39515,An Improper Validation of Consistency within Input vulnerability in the routing protocol daemon (rpd...,NETWORK,N,N,True,AV
CVE-2024-39516,"An Out-of-Bounds Read vulnerability in

the routing protocol daemon (rpd) of 

 Juniper Networks Jun...",NETWORK,N,N,True,AV
CVE-2024-39525,An Improper Handling of Exceptional Conditions vulnerability in the routing protocol daemon (rpd) of...,NETWORK,N,N,True,AV
CVE-2024-9782,A vulnerability was found in D-Link DIR-619L B1 2.06. It has been declared as critical. This vulnera...,NETWORK,N,N,True,AV
CVE-2024-9783,A vulnerability was found in D-Link DIR-619L B1 2.06. It has been rated as critical. This issue affe...,NETWORK,N,N,True,AV
CVE-2024-9784,A vulnerability classified as critical has been found in D-Link DIR-619L B1 2.06. Affected is the fu...,NETWORK,N,N,True,AV
CVE-2024-9785,A vulnerability classified as critical was found in D-Link DIR-619L B1 2.06. Affected by this vulner...,NETWORK,N,N,True,AV
CVE-2024-9786,"A vulnerability, which was classified as critical, has been found in D-Link DIR-619L B1 2.06. Affect...",NETWORK,N,N,True,AV
CVE-2024-4658,SQL Injection: Hibernate vulnerability in TE Informatics Nova CMS allows SQL Injection.This issue af...,NETWORK,N,N,True,AV
CVE-2024-9787,"A vulnerability, which was classified as problematic, was found in Contemporary Control System BASro...",NETWORK,N,N,True,AV
CVE-2024-9788,A vulnerability has been found in LyLme_spage 1.9.5 and classified as critical. This vulnerability a...,NETWORK,N,N,True,AV
CVE-2024-9789,A vulnerability was found in LyLme_spage 1.9.5 and classified as critical. This issue affects some u...,NETWORK,N,N,True,AV
CVE-2024-9790,A vulnerability was found in LyLme_spage 1.9.5. It has been classified as critical. Affected is an u...,NETWORK,N,N,True,AV
CVE-2024-9792,A vulnerability classified as problematic has been found in D-Link DSL-2750U R5B017. This affects an...,NETWORK,N,N,True,AV
CVE-2023-25581,pac4j is a security framework for Java. `pac4j-core` prior to version 4.0.0 is affected by a Java de...,NETWORK,N,N,True,AV
CVE-2024-9793,A vulnerability classified as critical was found in Tenda AC1206 up to 15.03.06.23. This vulnerabili...,NETWORK,N,N,True,AV
CVE-2024-9794,"A vulnerability, which was classified as critical, has been found in Codezips Online Shopping Portal...",NETWORK,N,N,True,AV
CVE-2024-9797,"A vulnerability, which was classified as critical, was found in code-projects Blood Bank System 1.0....",NETWORK,N,N,True,AV
CVE-2024-9799,A vulnerability has been found in SourceCodester Profile Registration without Reload Refresh 1.0 and...,NETWORK,N,N,True,AV
CVE-2024-9803,A vulnerability was found in code-projects Blood Bank Management System 1.0. It has been classified ...,NETWORK,N,N,True,AV
CVE-2024-47962,Delta Electronics CNCSoft-G2 lacks proper validation of the length of user-supplied data prior to co...,LOCAL,L,L,True,AV
CVE-2024-47963,"Delta Electronics CNCSoft-G2 lacks proper validation of user-supplied data, which can result in a wr...",LOCAL,L,L,True,AV
CVE-2024-47964,Delta Electronics CNCSoft-G2 lacks proper validation of the length of user-supplied data prior to co...,LOCAL,L,L,True,AV
CVE-2024-47965,"Delta Electronics CNCSoft-G2 lacks proper validation of user-supplied data, which can result in a re...",LOCAL,L,L,True,AV
CVE-2024-47966,Delta Electronics CNCSoft-G2 lacks proper initialization of memory prior to accessing it. An attacke...,LOCAL,L,L,True,AV
CVE-2024-9804,A vulnerability was found in code-projects Blood Bank System 1.0. It has been declared as critical. ...,NETWORK,N,N,True,AV
CVE-2024-9805,A vulnerability was found in code-projects Blood Bank System 1.0. It has been rated as problematic. ...,NETWORK,N,N,True,AV
CVE-2024-9806,A vulnerability has been found in Craig Rodway Classroombookings up to 2.8.6 and classified as probl...,NETWORK,N,N,True,AV
CVE-2024-9807,A vulnerability was found in Craig Rodway Classroombookings 2.8.7 and classified as problematic. Thi...,NETWORK,N,N,True,AV
CVE-2024-9808,A vulnerability was found in SourceCodester Online Eyewear Shop 1.0. It has been classified as criti...,NETWORK,N,N,True,AV
CVE-2024-9809,A vulnerability was found in SourceCodester Online Eyewear Shop 1.0. It has been declared as critica...,NETWORK,N,N,True,AV
CVE-2024-9810,A vulnerability was found in SourceCodester Record Management System 1.0. It has been rated as probl...,NETWORK,N,N,True,AV
CVE-2024-9811,A vulnerability classified as critical has been found in code-projects Restaurant Reservation System...,NETWORK,N,N,True,AV
CVE-2024-9812,A vulnerability classified as critical was found in code-projects Crud Operation System 1.0. This vu...,NETWORK,N,N,True,AV
CVE-2024-9813,"A vulnerability, which was classified as critical, has been found in Codezips Pharmacy Management Sy...",NETWORK,N,N,True,AV
CVE-2024-47084,Gradio is an open-source Python package designed for quick prototyping. This vulnerability is relate...,NETWORK,N,N,True,AV
CVE-2024-47164,Gradio is an open-source Python package designed for quick prototyping. This vulnerability relates t...,NETWORK,N,N,True,AV
CVE-2024-47165,Gradio is an open-source Python package designed for quick prototyping. This vulnerability relates t...,NETWORK,N,N,True,AV
CVE-2024-47166,Gradio is an open-source Python package designed for quick prototyping. This vulnerability involves ...,NETWORK,N,N,True,AV
CVE-2024-47167,Gradio is an open-source Python package designed for quick prototyping. This vulnerability relates t...,NETWORK,N,N,True,AV
CVE-2024-47168,Gradio is an open-source Python package designed for quick prototyping. This vulnerability involves ...,NETWORK,N,N,True,AV
CVE-2024-9487,An improper verification of cryptographic signature vulnerability was identified in GitHub Enterpris...,NETWORK,N,N,True,AV
CVE-2024-9814,"A vulnerability, which was classified as critical, was found in Codezips Pharmacy Management System ...",NETWORK,N,N,True,AV
CVE-2024-9815,A vulnerability has been found in Codezips Tourist Management System 1.0 and classified as critical....,NETWORK,N,N,True,AV
CVE-2024-9816,A vulnerability was found in Codezips Tourist Management System 1.0 and classified as critical. Affe...,NETWORK,N,N,True,AV
CVE-2024-47867,Gradio is an open-source Python package designed for quick prototyping. This vulnerability is a **la...,NETWORK,N,N,True,AV
CVE-2024-47868,Gradio is an open-source Python package designed for quick prototyping. This is a **data validation ...,NETWORK,N,N,True,AV
CVE-2024-47869,Gradio is an open-source Python package designed for quick prototyping. This vulnerability involves ...,NETWORK,N,N,True,AV
CVE-2024-47870,Gradio is an open-source Python package designed for quick prototyping. This vulnerability involves ...,NETWORK,N,N,True,AV
CVE-2024-47871,Gradio is an open-source Python package designed for quick prototyping. This vulnerability involves ...,NETWORK,N,N,True,AV
CVE-2024-47872,Gradio is an open-source Python package designed for quick prototyping. This vulnerability involves ...,NETWORK,N,N,True,AV
CVE-2024-9817,A vulnerability was found in code-projects Blood Bank System 1.0. It has been classified as critical...,NETWORK,N,N,True,AV
CVE-2024-9818,A vulnerability classified as critical has been found in SourceCodester Online Veterinary Appointmen...,NETWORK,N,N,True,AV
CVE-2024-9855,"A vulnerability was found in 07FLYCMS, 07FLY-CMS and 07FlyCRM 1.3.8. It has been declared as critica...",NETWORK,N,N,True,AV
CVE-2024-9856,"A vulnerability was found in 07FLYCMS, 07FLY-CMS and 07FlyCRM 1.3.8. It has been rated as problemati...",NETWORK,N,N,True,AV
CVE-2024-47074,"DataEase is an open source data visualization analysis tool. In Dataease, the PostgreSQL data source...",NETWORK,N,N,True,AV
CVE-2024-39526,An Improper Handling of Exceptional Conditions vulnerability in packet processing of Juniper Network...,ADJACENT,A,L,False,AV
CVE-2024-39527,An Exposure of Sensitive Information to an Unauthorized Actor vulnerability in the command-line inte...,LOCAL,L,L,True,AV
CVE-2024-39534,An Incorrect Comparison vulnerability in the local address verification API of Juniper Networks Juno...,ADJACENT,A,L,False,AV
CVE-2024-39544,An Incorrect Default Permissions vulnerability in the command line interface (CLI) of Juniper Networ...,LOCAL,L,L,True,AV
CVE-2024-39547,An Improper Handling of Exceptional Conditions vulnerability in the rpd-server of Juniper Networks J...,NETWORK,N,N,True,AV
CVE-2024-39563,"A Command Injection vulnerability in Juniper Networks Junos Space allows an unauthenticated, network...",NETWORK,N,N,True,AV
CVE-2024-47489,An Improper Handling of Exceptional Conditions vulnerability in the Packet Forwarding Engine (pfe) o...,NETWORK,N,N,True,AV
CVE-2024-47490,An Improper Restriction of Communication Channel to Intended Endpoints vulnerability in the Packet F...,NETWORK,N,L,False,AV
CVE-2024-47491,An Improper Handling of Exceptional Conditions vulnerability in the Routing Protocol Daemon (rpd) of...,NETWORK,N,N,True,AV
CVE-2024-47493,A Missing Release of Memory after Effective Lifetime vulnerability in the Packet Forwarding Engine (...,ADJACENT,A,L,False,AV
CVE-2024-47494,A Time-of-check Time-of-use (TOCTOU) Race Condition vulnerability in the AgentD process of Juniper N...,NETWORK,N,N,True,AV
CVE-2024-47495,An Authorization Bypass Through User-Controlled Key vulnerability allows a locally authenticated att...,LOCAL,L,L,True,AV
CVE-2024-47496,A NULL Pointer Dereference vulnerability in the Packet Forwarding Engine (pfe) of Juniper Networks J...,LOCAL,L,L,True,AV
CVE-2024-47497,An Uncontrolled Resource Consumption vulnerability in the http daemon (httpd) of Juniper Networks Ju...,NETWORK,N,N,True,AV
CVE-2024-47498,An Unimplemented or Unsupported Feature in UI vulnerability in the CLI of Juniper Networks Junos OS ...,ADJACENT,A,L,False,AV
CVE-2024-47499,An Improper Check for Unusual or Exceptional Conditions vulnerability in the routing protocol daemon...,NETWORK,N,N,True,AV
CVE-2024-47501,"A NULL Pointer Dereference vulnerability in the 

packet forwarding engine (pfe) of Juniper Networks...",LOCAL,L,L,True,AV
CVE-2024-47502,An Allocation of Resources Without Limits or Throttling vulnerability in the kernel of Juniper Netwo...,NETWORK,N,N,True,AV
CVE-2024-47503,An Improper Check for Unusual or Exceptional Conditions vulnerability in the flow processing daemon ...,ADJACENT,A,L,False,AV
CVE-2024-47504,An Improper Validation of Specified Type of Input vulnerability in the packet forwarding engine (pfe...,NETWORK,N,L,False,AV
CVE-2024-47505,An Allocation of Resources Without Limits or Throttling vulnerability in the PFE management daemon (...,NETWORK,N,N,True,AV
CVE-2024-47506,A Deadlock vulnerability in the packet forwarding engine (PFE) of Juniper Networks Junos OS on SRX S...,NETWORK,N,L,False,AV
CVE-2024-47507,An Improper Check for Unusual or Exceptional Conditions vulnerability in the routing protocol daemon...,NETWORK,N,N,True,AV
CVE-2024-47508,An Allocation of Resources Without Limits or Throttling vulnerability in the PFE management daemon (...,NETWORK,N,N,True,AV
CVE-2024-47509,An Allocation of Resources Without Limits or Throttling vulnerability in the PFE management daemon (...,NETWORK,N,N,True,AV
CVE-2024-8376,"In Eclipse Mosquitto up to version 2.0.18a, an attacker can achieve memory leaking, segmentation fau...",NETWORK,N,N,True,AV
CVE-2024-47877,"Extract is aA Go library to extract archives in zip, tar.gz or tar.bz2 formats. A maliciously crafte...",NETWORK,N,N,True,AV
CVE-2024-9539,An information disclosure vulnerability was identified in GitHub Enterprise Server via attacker uplo...,NETWORK,N,N,True,AV
CVE-2024-8912,An HTTP Request Smuggling vulnerability in Looker allowed an unauthorized attacker to capture HTTP r...,NETWORK,N,N,True,AV
CVE-2024-47884,foxmarks is a CLI read-only interface for Firefox's bookmarks and history. A temporary file was crea...,LOCAL,L,N,False,AV
CVE-2024-9894,"A vulnerability, which was classified as critical, was found in code-projects Blood Bank System 1.0....",NETWORK,N,N,True,AV
CVE-2024-9903,"A vulnerability classified as critical has been found in 07FLYCMS, 07FLY-CMS and 07FlyCRM up to 1.2....",NETWORK,N,N,True,AV
CVE-2024-9904,"A vulnerability classified as critical was found in 07FLYCMS, 07FLY-CMS and 07FlyCRM up to 1.2.0. Th...",NETWORK,N,N,True,AV
CVE-2024-9905,"A vulnerability, which was classified as critical, has been found in SourceCodester Online Eyewear S...",NETWORK,N,N,True,AV
CVE-2024-9906,"A vulnerability, which was classified as problematic, was found in SourceCodester Online Eyewear Sho...",NETWORK,N,N,True,AV
CVE-2024-9907,A vulnerability classified as problematic was found in QileCMS up to 1.1.3. This vulnerability affec...,NETWORK,N,N,True,AV
CVE-2024-9908,"A vulnerability, which was classified as critical, was found in D-Link DIR-619L B1 2.06. Affected is...",ADJACENT,A,N,False,AV
CVE-2024-9909,A vulnerability has been found in D-Link DIR-619L B1 2.06 and classified as critical. Affected by th...,NETWORK,N,N,True,AV
CVE-2024-9910,A vulnerability was found in D-Link DIR-619L B1 2.06 and classified as critical. Affected by this is...,NETWORK,N,N,True,AV
CVE-2024-9911,A vulnerability was found in D-Link DIR-619L B1 2.06. It has been classified as critical. This affec...,NETWORK,N,N,True,AV
CVE-2024-9912,A vulnerability was found in D-Link DIR-619L B1 2.06. It has been declared as critical. This vulnera...,NETWORK,N,N,True,AV
CVE-2024-9913,A vulnerability was found in D-Link DIR-619L B1 2.06. It has been rated as critical. This issue affe...,NETWORK,N,N,True,AV
CVE-2024-9914,A vulnerability classified as critical has been found in D-Link DIR-619L B1 2.06. Affected is the fu...,NETWORK,N,N,True,AV
CVE-2024-9915,A vulnerability classified as critical was found in D-Link DIR-619L B1 2.06. Affected by this vulner...,NETWORK,N,N,True,AV
CVE-2024-9916,"A vulnerability, which was classified as critical, has been found in HuangDou UTCMS V9. Affected by ...",NETWORK,N,N,True,AV
CVE-2024-9917,"A vulnerability, which was classified as critical, was found in HuangDou UTCMS V9. This affects an u...",NETWORK,N,N,True,AV
